circuit,sequence,sequence_full,tvd_loss,count,reports
seq_001.qpy,"sx(143) → cz(136,143)","sx(143) → cz(136,143)",0.05029296875,15,"[1, 2, 3, 5, 7, 9]"
seq_002.qpy,"sx(143) → rz(143, -2.7489)","sx(143) → rz(143, -2.7489)",0.00537109375,11,"[1, 2, 3, 5, 6, 7, 9]"
seq_003.qpy,"rz(143, -2.7489) → sx(143)","rz(143, -2.7489) → sx(143)",0.006103515625,11,"[1, 2, 3, 5, 6, 7, 9]"
seq_004.qpy,"sx(143) → rz(143, -2.7489) → sx(143)","sx(143) → rz(143, -2.7489) → sx(143)",0.052978515625,11,"[1, 2, 3, 5, 6, 7, 9]"
seq_005.qpy,"rz(143, 1.5708) → sx(143)","rz(143, 1.5708) → sx(143)",0.010498046875,7,"[1, 2, 5, 6, 7, 9, 14]"
seq_006.qpy,"rz(143, -2.7489) → sx(143) → cz(136,143)","rz(143, -2.7489) → sx(143) → cz(136,143)",0.059814453125,6,"[1, 2, 3, 5, 9]"
seq_007.qpy,"sx(143) → ... → cz(136,143)","sx(143) → rz(143, -2.7489) → sx(143) → cz(136,143)",0.05908203125,6,"[1, 2, 3, 5, 9]"
seq_008.qpy,"sx(143) → cz(142,143)","sx(143) → cz(142,143)",0.07421875,6,"[1, 7, 9]"
seq_009.qpy,sx(136) → sx(143),sx(136) → sx(143),0.028564453125,6,"[7, 9, 14]"
seq_010.qpy,"sx(107) → rz(107, -2.7489)","sx(107) → rz(107, -2.7489)",0.011962890625,6,"[11, 12]"
