circuit,sequence,sequence_full,tvd_loss,count,reports
seq_001.qpy,"sx(143) → cz(136,143)","sx(143) → cz(136,143)",0.0810546875,15,"[1, 2, 3, 5, 7, 9]"
seq_002.qpy,"sx(143) → rz(143, -2.7489)","sx(143) → rz(143, -2.7489)",0.000732421875,11,"[1, 2, 3, 5, 6, 7, 9]"
seq_003.qpy,"rz(143, -2.7489) → sx(143)","rz(143, -2.7489) → sx(143)",0.01611328125,11,"[1, 2, 3, 5, 6, 7, 9]"
seq_004.qpy,"sx(143) → rz(143, -2.7489) → sx(143)","sx(143) → rz(143, -2.7489) → sx(143)",0.03857421875,11,"[1, 2, 3, 5, 6, 7, 9]"
seq_005.qpy,"rz(143, 1.5708) → sx(143)","rz(143, 1.5708) → sx(143)",0.01953125,8,"[1, 2, 5, 6, 7, 9, 14]"
seq_006.qpy,"rz(143, -2.7489) → sx(143) → cz(136,143)","rz(143, -2.7489) → sx(143) → cz(136,143)",0.08447265625,6,"[1, 2, 3, 5, 9]"
seq_007.qpy,"sx(143) → ... → cz(136,143)","sx(143) → rz(143, -2.7489) → sx(143) → cz(136,143)",0.064208984375,6,"[1, 2, 3, 5, 9]"
seq_008.qpy,"sx(143) → cz(142,143)","sx(143) → cz(142,143)",0.05126953125,6,"[1, 7, 9]"
seq_009.qpy,"sx(107) → rz(107, -2.7489)","sx(107) → rz(107, -2.7489)",0.030517578125,6,"[11, 12]"
seq_010.qpy,"rz(107, -2.7489) → sx(107)","rz(107, -2.7489) → sx(107)",0.003173828125,6,"[11, 12]"
